state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"ok",1992,71.35761,78.35137,10,0,80.08,0,1
"ok",1996,61.65414,73.80772,24,0,80.64,0,1
"ok",2000,66.23711,77.34375,24,0,85.36,0,1
"or",1972,67.67875,76.84729,30,0,72.8,0,1
"or",1980,72.02349,79.58199,0,1,79.73,0,1
"or",1984,72.25705,80.82409,0,1,80.1,0,1
"or",1988,68.28571,76.77357,21,0,83.05,0,1
"or",1992,75.95057,81.8618,20,0,85.94,0,1
"or",1996,68.53814,81.66312,21,0,88.62,0,1
"or",2000,75.08161,84.98896,21,0,85.96,0,1
"pa",1972,64.56636,73.06078,30,0,61.75,0,1
"pa",1980,59.43601,67.02525,30,0,69.43,0,1
"pa",1984,62.93226,70.20359,30,0,75.44,0,1
"pa",1988,58.69373,66.81625,30,0,76.89,0,1
"pa",1992,63.60302,69.62524,30,0,81.65,0,1
"pa",1996,60.48365,72.11699,30,0,83.57,0,1
"pa",2000,64.43589,75.00748,30,0,85.23,0,1
"ri",1972,76.66666,84.66386,30,0,60.61,0,1
"ri",1980,72.33883,81.83195,30,0,69.42,0,1
"ri",1984,71.16564,77.76629,30,0,68.61,0,1
"ri",1988,71.47846,80.61465,30,0,74.82,0,1
"ri",1992,75.55297,81.05882,30,0,79.45,0,1
"ri",1996,70.13142,81.65468,30,0,78.27,0,1
"ri",2000,69.2683,80.91698,30,0,84.33,0,1
"sc",1972,48.63884,61.36155,30,0,57.27,1,0
"sc",1980,52.36708,60.17699,30,0,64.35,1,0
"sc",1984,52.05128,62.82495,30,0,64.01,1,0
"sc",1988,51.82273,63.16932,30,0,73.35,1,0
"sc",1992,61.39389,70.4996,30,0,72.98,1,0
"sc",1996,57.48899,72.23451,30,0,78.6,1,0
"sc",2000,65.55556,75.53072,30,0,80.92,1,0
"sd",1972,79.13908,84.89933,15,0,58.05,0,1
"sd",1980,76.68162,83.81438,15,0,73.8,0,1
"sd",1984,71.8612,81.8706,15,0,80.19,0,1
"sd",1988,74.60115,82.82763,15,0,80.57,0,1
"sd",1992,72.83702,84.0411,15,0,82.52,0,1
"sd",1996,65.81126,77.62938,15,0,82.99,0,1
